_id,_accuracy,__text
MX.1.384.1,correct,Because the salt was too small so small that you cannot see it.
MX.1.426.1,incorrect,Because sand is much softer and the salt.
MX.1.428.1,incorrect,Because the salt dissolved into the water and the sand did not.
MX.1.430.1,incorrect,Because salt and water are a solution but sand and water is just a mixture.
MX.1.431.1,incorrect,The sand got caught because it had rocks in it.
MX.1.457.1,incorrect,The salt went through because when the salt and water mixed the salt dissolved a little.
MX.1.464.1,correct,The particle size of the sand was too big to fit through the holes of the filter. While the salt particle size was too small to get caught.
MX.1.470.1,incorrect,The salt did not get caught because it dissolved in the water.
MX.1.472.1,incorrect,The salt went through the filter because it dissolved and the sand did not.
MX.1.486.1,incorrect,Because he put water in it so the salt dissolved with the water and ran right through.
MX.1.488.1,correct,Because salt is so small it slid through the large coffee filter. Sand is larger so it stuck to the filter.
MX.1.494.1,incorrect,The salt turns to liquid like an ice cube and then to water sand does not.
MX.1.495.1,incorrect,The sand was too big to fit through the tiny holes in the filter. The salt dissolved into the water and was way too small to get caught in the filter. It just went through.
MX.1.498.1,incorrect,The salt went through the filter because the salt mix with water to make saltwater. Sand the sand got caught because it is just like the powder it sticks to the sides.
MX.1.500.1,correct,The salt is smaller and is harder.
MX.1.528.1,incorrect,The salt had gone away or dissolved.
MX.1.533.1,correct,Because the sand is bigger than the salt.
MX.1.539.1,correct,The grains of salt must be smaller than the grains of sand.
MX.1.562.1,incorrect,The salt got dissolved in the water.
MX.1.564.1,incorrect,Because the sand is thicker than the water. Water is smooth.
MX.1.565.1,correct,Because the filter has smaller holes so whatever big particle will be separated.
MX.1.567.1,correct,Maybe because in the little dish there is little holes and it will not go through it.
MX.1.569.1,correct,The salt was small enough to go through the holes while the sand was too big to go through.
MX.1.599.1,incorrect,The sand cannot go through because the water would not let the sand dissolve.
MX.1.601.1,incorrect,It stayed there because of its size.
MX.1.604.1,correct,Because the salt evaporated so it could go through and still have salt in it. While sand did not so it could not go through.
MX.1.606.1,incorrect,Because salt can dissolve but sand is tiny parts of the ground.
MX.1.607.1,incorrect,Because the salt dissolved in the water and the sand did not.
MX.1.613.1,incorrect,Because the salt is evaporated already and the sand cannot because it is hard and it is gravel.
MX.1.633.1,incorrect,The salt became a part of the water so it dissolve in the water so the salt went with the water. But the sand did not dissolve in the water because it was so bulky.
MX.1.642.1,incorrect,The salt dissolved and became smaller. The sand became mud and got caught together and stayed on top.
MX.1.649.1,incorrect,They have a sticky stuff that did not work.
