_id,_accuracy,__text
FN.20b.101.1,correct,"Using only the results from her experiment, Anna will know which one has more fat in it by the larger the grease spot the more fat."
FN.20b.114.1,correct,The way Anna will know is the bigger the spot the more fat.
FN.20b.123.1,correct,She will know which one has the most fat is checking the size of the grease spots.
FN.20b.148.1,correct,Look at the grease that is on it and what has the most grease has the most fat.
FN.20b.156.1,correct,The bigger the grease spot the more fat.
FN.20b.160.1,correct,She will know because the one with a big spot has more fat than the other one.
FN.20b.181.1,correct,She can tell by how big each grease spot is so if walnuts had more fat it would have a bigger grease spot.
FN.20b.218.1,incorrect,Whichever one is higher on the graph has more fat.
FN.20b.265.1,correct,You can tell which one has more fat by looking at the brown piece of paper and the biggest grease spot has more fat in it.
FN.20b.277.1,incorrect,The one that has more fat on the paper.
FN.20b.280.1,incorrect,Anna will know by mix and dividing it and she will get a percentage of how much fat is in walnuts and peanuts.
FN.20b.311.1,correct,The nut with the largest grease spot has the most fat.
FN.20b.318.1,correct,Whichever one has more oil spread out on the paper towel has the most fat.
FN.20b.329.1,incorrect,She will know by the grease mark on the brown piece of paper.
FN.20b.332.1,correct,The one that has the bigger grease stain.
FN.20b.333.1,correct,Anna would know by looking at the 2 pieces of paper and seeing the paper that has more grease on it. The one that has more grease on it has more fat.
FN.20b.364.1,incorrect,Let it sit for a day and if there was a grease spot that is how she would find out.
FN.20b.381.1,correct,"By the time 2 days are up both indicators will have a grease spot, both representing a walnut and a peanut the one with the biggest grease spot has the most fat."
FN.20b.388.1,correct,She will get the results with the biggest grease spot. For the most fat.
FN.20b.402.1,incorrect,Then she will know that walnut or peanuts has more fat.
FN.20b.407.1,correct,Anna will measure the grease spot then she will figure out which one has more fat.
FN.20b.428.1,incorrect,"By waiting for 2 days from morning until night, then you will see which one is fattier."
FN.20b.437.1,incorrect,Peanut has more than walnut.
FN.20b.464.1,correct,The brown paper will look wet and that will tell you which one has more fat in them.
FN.20b.488.1,correct,The more grease the more fat there is.
FN.20b.491.1,correct,You get grid paper and put it on the grease spot and count the square in the grease spot.
FN.20b.508.1,correct,It will show a grease spot. Then you get a graph paper then it will show how many percent it has.
FN.20b.522.1,incorrect,On your indicator whichever had more grease spots.
FN.20b.528.1,incorrect,Look at the grease marks.
FN.20b.531.1,correct,You take the grid chart over each food sample and count the squares that is filled with grease marks.
FN.20b.538.1,correct,The grease marks will show her which one has more fat.
FN.20b.558.1,correct,Anna will know which food has more fat by the grease spots on the brown paper.
FN.20b.587.1,correct,The one that has more grease will have more fat.
FN.20b.605.1,incorrect,First you need a square centimeter chart. Put it in the circle and add them. The cross that are half add them to each other.
FN.20b.611.1,correct,They should see which has more grease.
FN.20b.616.1,incorrect,Lay the crushed walnuts and peanuts on brown paper.
