_id,_accuracy,__text
II.24b.383.1,incorrect,I will use carbon printing to know.
II.24b.387.1,incorrect,I will know when the dogs are asleep.
II.24b.395.1,correct,"They will look exactly the same, same size same pattern."
II.24b.399.1,correct,So you can see if the bags have the same paw.
II.24b.402.1,incorrect,Some dogs more cracks on their paws.
II.24b.403.1,incorrect,I will by looking if the dogs have paw prints.
II.24b.406.1,incorrect,Look at microscope.
II.24b.417.1,incorrect,Study them both.
II.24b.422.1,correct,If they look the same.
II.24b.424.1,correct,By looking at the patterns.
II.24b.428.1,incorrect,I tell what is he mean.
II.24b.431.1,incorrect,The carbon printings will look the same.
II.24b.433.1,incorrect,It is the different dog and is not the same.
II.24b.441.1,incorrect,Their paw prints will be the same.
II.24b.458.1,correct,"They will both have either arches, loops, or whorls. That is how they will be the same."
II.24b.460.1,incorrect,By comparing the 2 prints.
II.24b.467.1,incorrect,You look real hard to see that either their toes are separated or they have print on them.
II.24b.472.1,correct,Identify them with a magnifying glass and see if they are the same.
II.24b.480.1,incorrect,If you discover if the dogs have the something is a loop arch or a whorl for the dog.
II.24b.521.1,incorrect,"The finger texture, shape."
II.24b.528.1,incorrect,Maybe they both have arches but not in the same way.
II.24b.540.1,correct,By telling if it is a whorl a loop or an arch.
II.24b.543.1,incorrect,They came from the same kind of dogs.
II.24b.556.1,incorrect,If they are the same dog.
II.24b.558.1,incorrect,You can see the designs.
II.24b.564.1,correct,You can tell if the 2 dogs' paw prints are the same if it is the same as exactly the same dog.
II.24b.568.1,incorrect,No 2 prints are the same.
II.24b.571.1,incorrect,The dog's name will be on the paper so you know which dog it came from.
II.24b.573.1,correct,You will compare the paw prints.
II.24b.578.1,incorrect,They have the same curves and shapes.
II.24b.582.1,correct,"If they have the same kind of arch, loop, or whorl."
II.24b.593.1,incorrect,You would be able to try the print.
II.24b.599.1,incorrect,We cannot tell if they have the same fingerprint we cannot tell if 2 have the same fingerprint.
II.24b.603.1,correct,You could scan both pieces of paper and look at the ridges and grooves in the prints.
II.24b.613.1,incorrect,I would look at them to tell.
II.24b.615.1,correct,To put the tape on it and look to see if it is the same type.
